Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
 Garen,0,0,0%,,,,,-,,,,,,,
 Graves,0,0,0%,,,,,-,,,,,,,
 Hecarim,0,0,0%,,,,,-,,,,,,,
 Heimerdinger,0,0,0%,,,,,-,,,,,,,
 Irelia,0,0,0%,,,,,-,,,,,,,
 Janna,0,0,0%,,,,,-,,,,,,,
 Jarvan IV,0,0,0%,,,,,-,,,,,,,
 Jinx,0,0,0%,,,,,-,,,,,,,
 Karma,0,0,0%,,,,,-,,,,,,,
 Karthus,0,0,0%,,,,,-,,,,,,,
 Kassadin,0,0,0%,,,,,-,,,,,,,
 Katarina,0,0,0%,,,,,-,,,,,,,
 Kayle,0,0,0%,,,,,-,,,,,,,
 Kennen,0,0,0%,,,,,-,,,,,,,
 KogMaw,0,0,0%,,,,,-,,,,,,,
 Lee Sin,0,0,0%,,,,,-,,,,,,,
 Lissandra,0,0,0%,,,,,-,,,,,,,
 Lux,0,0,0%,,,,,-,,,,,,,
 Malphite,0,0,0%,,,,,-,,,,,,,
 Malzahar,0,0,0%,,,,,-,,,,,,,
 Master Yi,0,0,0%,,,,,-,,,,,,,
 Miss Fortune,0,0,0%,,,,,-,,,,,,,
 Mordekaiser,0,0,0%,,,,,-,,,,,,,
 Morgana,0,0,0%,,,,,-,,,,,,,
 Nami,0,0,0%,,,,,-,,,,,,,
 Nasus,0,0,0%,,,,,-,,,,,,,
 Nidalee,0,0,0%,,,,,-,,,,,,,
 Nunu,0,0,0%,,,,,-,,,,,,,
 Olaf,0,0,0%,,,,,-,,,,,,,
 Orianna,0,0,0%,,,,,-,,,,,,,
 Pantheon,0,0,0%,,,,,-,,,,,,,
 Quinn,0,0,0%,,,,,-,,,,,,,
 Rammus,0,0,0%,,,,,-,,,,,,,
 Rengar,0,0,0%,,,,,-,,,,,,,
 Riven,0,0,0%,,,,,-,,,,,,,
 Ryze,0,0,0%,,,,,-,,,,,,,
 Shaco,0,0,0%,,,,,-,,,,,,,
 Shen,0,0,0%,,,,,-,,,,,,,
 Shyvana,0,0,0%,,,,,-,,,,,,,
 Singed,0,0,0%,,,,,-,,,,,,,
 Sion,0,0,0%,,,,,-,,,,,,,
 Skarner,0,0,0%,,,,,-,,,,,,,
 Sona,0,0,0%,,,,,-,,,,,,,
 Soraka,0,0,0%,,,,,-,,,,,,,
 Swain,0,0,0%,,,,,-,,,,,,,
 Syndra,0,0,0%,,,,,-,,,,,,,
 Talon,0,0,0%,,,,,-,,,,,,,
 Taric,0,0,0%,,,,,-,,,,,,,
 Teemo,0,0,0%,,,,,-,,,,,,,
 Thresh,0,0,0%,,,,,-,,,,,,,
 Trundle,0,0,0%,,,,,-,,,,,,,
 Tryndamere,0,0,0%,,,,,-,,,,,,,
 Twisted Fate,0,0,0%,,,,,-,,,,,,,
 Twitch,0,0,0%,,,,,-,,,,,,,
 Udyr,0,0,0%,,,,,-,,,,,,,
 Urgot,0,0,0%,,,,,-,,,,,,,
 Veigar,0,0,0%,,,,,-,,,,,,,
 Viktor,0,0,0%,,,,,-,,,,,,,
 Vladimir,0,0,0%,,,,,-,,,,,,,
 Volibear,0,0,0%,,,,,-,,,,,,,
 Warwick,0,0,0%,,,,,-,,,,,,,
 Wukong,0,0,0%,,,,,-,,,,,,,
 Xin Zhao,0,0,0%,,,,,-,,,,,,,
 Yasuo,0,0,0%,,,,,-,,,,,,,
 Yorick,0,0,0%,,,,,-,,,,,,,
 Zac,0,0,0%,,,,,-,,,,,,,
 Zed,0,0,0%,,,,,-,,,,,,,
 Zilean,0,0,0%,,,,,-,,,,,,,
 Zyra,0,0,0%,,,,,-,,,,,,,
 Kalista,0,0,0%,,,,,-,,,,,,,
 RekSai,0,0,0%,,,,,-,,,,,,,
 VelKoz,0,0,0%,,,,,-,,,,,,,
 Bard,0,0,0%,,,,,-,,,,,,,
 Ekko,0,0,0%,,,,,-,,,,,,,
 Tahm Kench,0,0,0%,,,,,-,,,,,,,
 Kindred,0,0,0%,,,,,-,,,,,,,
 Illaoi,0,0,0%,,,,,-,,,,,,,
 Jhin,0,0,0%,,,,,-,,,,,,,
 Aurelion Sol,0,0,0%,,,,,-,,,,,,,
 Kled,0,0,0%,,,,,-,,,,,,,
 Ivern,0,0,0%,,,,,-,,,,,,,
 Camille,0,0,0%,,,,,-,,,,,,,
 Kayn,0,0,0%,,,,,-,,,,,,,
 Zoe,0,0,0%,,,,,-,,,,,,,
 Pyke,0,0,0%,,,,,-,,,,,,,
 Sylas,0,0,0%,,,,,-,,,,,,,
 Yuumi,0,0,0%,,,,,-,,,,,,,
 Qiyana,0,0,0%,,,,,-,,,,,,,
 Senna,0,0,0%,,,,,-,,,,,,,
 Sett,0,0,0%,,,,,-,,,,,,,
 Lillia,0,0,0%,,,,,-,,,,,,,
 Seraphine,0,0,0%,,,,,-,,,,,,,
 Gwen,0,0,0%,,,,,-,,,,,,,
 Akshan,0,0,0%,,,,,-,,,,,,,
 Vex,0,0,0%,,,,,-,,,,,,,
 Renata Glasc,0,0,0%,,,,,-,,,,,,,
 Belveth,0,0,0%,,,,,-,,,,,,,
 Milio,0,0,0%,,,,,-,,,,,,,
 Naafiri,0,0,0%,,,,,-,,,,,,,
